id,custid,大类编码,大类名称,中类编码,中类名称,小类编码,小类名称,销售日期,销售月份,商品编码,规格型号,商品类型,单位,销售数量,销售金额,商品单价,是否促销
12301,95,20,粮油,2013,调味酱,201302,辣酱,20150201,201502,DW-2013020073,200g,一般商品,瓶,1,5.9,5.9,否
12302,106,13,熟食,1308,现制中式面点,130803,现制烙类,20150201,201502,DW-1308030035,个,生鲜,个,4,4,1,否
12303,174,20,粮油,2011,液体调料,201102,生抽酱油,20150201,201502,DW-2011020021,500ml,一般商品,瓶,1,6.9,7.9,否
12304,410,20,粮油,2009,盐/糖,200905,红糖,20150201,201502,DW-2009050008,400g,一般商品,袋,1,5.6,5.7,否
12305,410,22,休闲,2205,炒货,220513,香瓜子,20150201,201502,DW-2205130089,散装,一般商品,KG,0.312,4.3,13.8,否
12306,1135,12,蔬果,1201,蔬菜,120104,花果,20150201,201502,DW-1201040035,散称,生鲜,千克,0.308,4,9.6,否
12307,1728,20,粮油,2009,盐/糖,200902,功能盐,20150201,201502,DW-2009020012,400g,一般商品,袋,1,2.3,2.3,否
12308,2062,15,日配,1521,蛋类,152101,新鲜蛋品,20150201,201502,DW-1521010043,散称,一般商品,千克,0.294,3.82,8.5,否
12309,2228,15,日配,1512,冷冻汤圆,151206,无馅汤圆,20150201,201502,DW-1512060001,250g,一般商品,袋,1,5,4.9,否
12310,2308,22,休闲,2209,巧克力,220904,牛奶巧克力,20150201,201502,DW-2209040042,82g,一般商品,袋,1,12.5,16.5,是
12311,2391,12,蔬果,1203,水果,120307,蕉类,20150201,201502,DW-1203070022,散称,生鲜,KG,0.724,3.3,5.96,否
12312,2449,12,蔬果,1201,蔬菜,120103,芽菜,20150201,201502,DW-1201030001,散称,生鲜,千克,0.388,1,1.76,否
12313,3590,22,休闲,2206,即食熟制品,220607,豆干类,20150201,201502,DW-2206070241,散称,一般商品,kg,0.42,8.31,39.8,是
12314,3919,12,蔬果,1203,水果,120309,进口水果,20150201,201502,DW-1203090216,散称,生鲜,KG,0.508,13.5,15.9,否
12315,4417,12,蔬果,1201,蔬菜,120102,根茎,20150201,201502,DW-1201020037,散称,生鲜,千克,0.31,2.22,3.96,否
12316,4417,12,蔬果,1203,水果,120309,进口水果,20150201,201502,DW-1203090210,散称,生鲜,KG,1.866,21.98,17.6,否
12317,4477,30,洗化,3013,口腔卫生用品,301303,成人牙刷,20150201,201502,DW-3013030396,1016,一般商品,支,1,15.5,15.7,否
12318,4488,12,蔬果,1203,水果,120303,梨类,20150201,201502,DW-1203030177,散称,生鲜,KG,2.048,8.9,3.18,否
12319,4606,15,日配,1518,常温乳品,151805,利乐枕纯奶,20150201,201502,DW-1518050001,240ml,一般商品,袋,16,43.2,2.7,否
12320,4759,12,蔬果,1201,蔬菜,120102,根茎,20150201,201502,DW-1201020037,散称,生鲜,千克,0.532,3.81,3.96,否
12321,4759,20,粮油,2005,煮食面/粉,200501,挂面,20150201,201502,DW-2005010042,400g,一般商品,袋,1,4.2,5.7,否
12322,4759,34,针织,3406,童袜,340601,儿童袜,20150201,201502,DW-3406010425,1-4岁,一般商品,双,1,6,6,否
12323,5099,31,家居,3121,家事收纳,312102,整理箱,20150201,201502,DW-3121020138,X-6134,一般商品,只,1,69,69,否
12324,769,30,洗化,3008,洗护发用品,300802,润发护发,20150201,201502,DW-3008020459,270ml,一般商品,瓶,1,36.9,38.9,否
12325,1037,12,蔬果,1201,蔬菜,120104,花果,20150201,201502,DW-1201040035,散称,生鲜,千克,0.1,1.3,9.6,否
12326,1113,20,粮油,2009,盐/糖,200902,功能盐,20150201,201502,DW-2009020015,400g,一般商品,袋,1,2.8,2.8,否
12327,1116,22,休闲,2210,果冻,221003,杯装果冻,20150201,201502,DW-2210030027,200g,一般商品,杯,1,4.1,4.5,否
12328,1499,31,家居,3114,一次性用品,311405,一次性垃圾袋,20150201,201502,DW-3114050088,6198,一般商品,只,1,2.9,5,否
12329,1499,31,家居,3116,保鲜用品,311604,保鲜袋,20150201,201502,DW-3116040005,25CM*17CM*25,一般商品,卷,1,9,10,否
12330,1956,12,蔬果,1202,加工豆类,120201,豆腐,20150201,201502,DW-1202018267,块,生鲜,块,2,3,1.5,否
12331,1971,12,蔬果,1203,水果,120302,苹果类,20150201,201502,DW-1203020218,散称,生鲜,KG,0.476,8.83,10,否
12332,2012,22,休闲,2212,无糖食品,221202,无糖休闲食品,20150201,201502,DW-2212020297,500g,一般商品,包,1,25.9,25.9,否
12333,2062,12,蔬果,1201,蔬菜,120107,有机蔬菜,20150201,201502,DW-1201070001,散称,生鲜,KG,0.523,2.9,5,否
12334,2228,20,粮油,2007,南北干货,200706,红枣,20150201,201502,DW-2007060065,散称,一般商品,kg,0.234,8.8,37.8,否
12335,2229,12,蔬果,1202,加工豆类,120201,豆腐,20150201,201502,DW-1202018073,散称,生鲜,千克,0.452,1.79,2.96,否
12336,2308,22,休闲,2203,膨化点心,220302,袋装薯片,20150201,201502,DW-2203020184,104g,一般商品,罐,1,7.5,7.5,否
12337,2449,12,蔬果,1205,其它加工,120501,咸菜干货,20150201,201502,DW-1205010017,散称,生鲜,kg,0.406,1.04,2,否
12338,2606,12,蔬果,1205,其它加工,120501,咸菜干货,20150201,201502,DW-1205010005,散称,生鲜,kg,0.401,2.23,2,否
12339,2925,20,粮油,2002,袋装速食面组,200201,牛肉口味,20150201,201502,DW-2002010021,114g*5,一般商品,包,1,7.5,7.5,否
12340,3511,20,粮油,2006,五谷杂粮,200608,杂粮粉,20150201,201502,DW-2006080038,700g,一般商品,袋,1,7.5,4.3,否
12341,3590,31,家居,3104,水壶,310499,其他水壶,20150201,201502,DW-3104990004,1.8L,一般商品,只,1,159,129,否
12342,3669,30,洗化,3009,剃须护理用品,300901,剃须刀片,20150201,201502,DW-3009010043,4个刀头,一般商品,支,1,38.9,38.9,否
12343,4427,22,休闲,2202,糕点,220208,散称糕点,20150201,201502,DW-2202080030, ,一般商品,KG,0.188,2.91,15.6,否
12344,4620,10,肉禽,1001,猪肉,100101,鲜猪肉,20150201,201502,DW-1001010196,散称,生鲜,千克,0.948,22.53,27.8,否
12345,4620,22,休闲,2203,膨化点心,220304,薯条,20150201,201502,DW-2203040016,45g,一般商品,袋,1,2.8,3.3,否
12346,4620,31,家居,3115,香/烛,311599,其他香、蜡烛,20150201,201502,DW-3115990053,HB12101,一般商品,个,1,9.9,16,是
12347,4998,20,粮油,2009,盐/糖,200902,功能盐,20150201,201502,DW-2009020015,400g,一般商品,袋,1,2.8,2.8,否
12348,46,15,日配,1521,蛋类,152101,新鲜蛋品,20150201,201502,DW-1521010005,散称,一般商品,千克,0.788,7.05,6.78,否
12349,410,20,粮油,2008,调味料,200809,淀/酵/碱粉,20150201,201502,DW-2008090015,15g,一般商品,袋,1,1.2,1.3,否
12350,1037,15,日配,1505,冷藏乳品,150504,冷藏乳酸菌,20150201,201502,DW-1505040017,100ml*5,一般商品,组,1,8,11.5,是
12351,1057,31,家居,3126,粘合用品,312603,家居保护垫,20150201,201502,DW-3126030029,JY5497,一般商品,个,1,5,5,否
12352,1113,15,日配,1505,冷藏乳品,150501,冷藏原味酸乳,20150201,201502,DW-1505010115,330ml,一般商品,瓶,1,4.5,6,是
12353,1338,20,粮油,2014,酱菜类,201401,榨菜,20150201,201502,DW-2014010018,60g,一般商品,袋,1,0.5,0.5,否
12354,1406,12,蔬果,1201,蔬菜,120104,花果,20150201,201502,DW-1201040049,散称,生鲜,千克,0.43,3.13,5.8,否
12355,1406,30,洗化,3002,浴厕厨清洁剂,300202,洁厕剂,20150201,201502,DW-3002020103,50g,一般商品,卡,1,1.9,2.7,是
12356,1406,30,洗化,3013,口腔卫生用品,301301,成人牙膏,20150201,201502,DW-3013010638,180g,一般商品,支,1,15.9,15.9,否
12357,53,12,蔬果,1202,加工豆类,120201,豆腐,20150201,201502,DW-1202018267,块,生鲜,块,2,3,1.5,否
12358,106,20,粮油,2013,调味酱,201306,甜面/豆瓣酱,20150201,201502,DW-2013060015,180g,一般商品,袋,1,2,2,否
12359,1499,20,粮油,2009,盐/糖,200903,绵白糖,20150201,201502,DW-2009030002,散称,一般商品,kg,1,6,6.8,否
12360,1673,31,家居,3116,保鲜用品,311604,保鲜袋,20150201,201502,DW-3116040003,35CM*25CM*15,一般商品,卷,1,9,10,否
12361,174,20,粮油,2014,酱菜类,201401,榨菜,20150201,201502,DW-2014010010,60g,一般商品,袋,1,0.5,0.5,否
12362,2012,12,蔬果,1201,蔬菜,120101,叶菜,20150201,201502,DW-1201010004,散称,生鲜,千克,0.171,0.97,5.6,否
12363,2050,13,熟食,1301,凉拌熟食,130101,凉拌素食,20150201,201502,DW-1301010076,散称,联营商品,kg,0.001,5,20,否
12364,2325,12,蔬果,1201,蔬菜,120102,根茎,20150201,201502,DW-1201020029,散称,生鲜,千克,0.77,3.52,3.96,否
12365,49,22,休闲,2201,饼干,220111,趣味/休闲,20150201,201502,DW-2201110013,25g,一般商品,杯,1,3.3,3.3,否
12366,106,20,粮油,2013,调味酱,201306,甜面/豆瓣酱,20150201,201502,DW-2013060012,400g,一般商品,袋,1,3.5,3.7,否
12367,2449,12,蔬果,1201,蔬菜,120107,有机蔬菜,20150201,201502,DW-1201070001,散称,生鲜,KG,0.48,2.65,5,否
12368,2606,34,针织,3402,女内衣裤,340201,盒装女内裤,20150201,201502,DW-3402010076,M-XXL,一般商品,盒,1,30,30,否
12369,1135,22,休闲,2207,糖果,220703,软糖,20150201,201502,DW-2207030107,150g,一般商品,瓶,1,12.9,12.9,否
12370,1406,30,洗化,3011,保养用品,301102,洁面乳,20150201,201502,DW-3011020646,100g,一般商品,支,1,21.9,22.9,否
12371,106,20,粮油,2007,南北干货,200703,菇类,20150201,201502,DW-2007030061,150g,一般商品,袋,1,19.5,12.9,否
12372,541,15,日配,1521,蛋类,152101,新鲜蛋品,20150201,201502,DW-1521010005,散称,一般商品,千克,0.95,8.53,6.78,否
12373,541,20,粮油,2007,南北干货,200706,红枣,20150201,201502,DW-2007060065,散称,一般商品,kg,0.348,13.15,37.8,否
12374,1966,13,熟食,1308,现制中式面点,130803,现制烙类,20150201,201502,DW-1308030035,个,生鲜,个,2,2,1,否
12375,2012,22,休闲,2202,糕点,220205,中式糕点,20150201,201502,DW-2202050038,330g,一般商品,袋,1,8.9,9.3,否
12376,95,15,日配,1503,冷藏料理,150305,冷藏面食类,20150201,201502,DW-1503050032,330g,一般商品,袋,1,4.7,5.7,否
12377,106,12,蔬果,1202,加工豆类,120201,豆腐,20150201,201502,DW-1202018267,块,生鲜,块,2,3,1.5,否
12378,174,15,日配,1512,冷冻汤圆,151299,其它汤圆,20150201,201502,DW-1512990001,500g,一般商品,袋,1,7.9,8.3,否
12379,2308,15,日配,1517,常温肉制品,151701,猪肉火腿肠,20150201,201502,DW-1517010003,60g*10,一般商品,袋,1,13.9,16.3,是
12380,1057,15,日配,1519,外送面包糕点,151902,外送甜面包,20150201,201502,DW-1519020024,散称,一般商品,千克,0.428,7.27,17.8,否
12381,1116,22,休闲,2207,糖果,220703,软糖,20150201,201502,DW-2207030041,33g,一般商品,支,1,2,2,否
12382,1116,22,休闲,2210,果冻,221003,杯装果冻,20150201,201502,DW-2210030018,178g,一般商品,只,1,3.9,3.9,否
12383,272,12,蔬果,1202,加工豆类,120201,豆腐,20150201,201502,DW-1202018073,散称,生鲜,千克,0.648,2.5,2.96,否
12384,410,22,休闲,2205,炒货,220502,带壳花生,20150201,201502,DW-2205020048,散称,一般商品,kg,0.28,3.3,11.8,否
12385,541,12,蔬果,1201,蔬菜,120104,花果,20150201,201502,DW-1201040053,散称,生鲜,千克,0.744,7.42,12,否
12386,1113,23,酒饮,2306,运动机能饮料,230601,咖啡饮料,20150201,201502,DW-2306010022,268ml,一般商品,瓶,1,4.8,6,否
12387,1406,22,休闲,2202,糕点,220206,煎饼,20150201,201502,DW-2202060001,100g,一般商品,袋,1,6.8,7.3,否
12388,3511,20,粮油,2006,五谷杂粮,200607,杂粮,20150201,201502,DW-2006070025,散称,一般商品,千克,1.308,7.03,6.98,是
12389,541,15,日配,1521,蛋类,152101,新鲜蛋品,20150201,201502,DW-1521010074,18枚,生鲜,提,1,19.9,19.9,否
12390,4036,22,休闲,2204,蜜饯,220403,梅,20150201,201502,DW-2204030375,散称,一般商品,kg,0.28,14.5,47.8,否
12391,1499,12,蔬果,1201,蔬菜,120102,根茎,20150201,201502,DW-1201020037,散称,生鲜,千克,0.26,1.86,3.96,否
12392,1499,12,蔬果,1201,蔬菜,120104,花果,20150201,201502,DW-1201040035,散称,生鲜,千克,0.298,3.92,9.6,否
12393,1728,20,粮油,2008,调味料,200803,鸡精,20150201,201502,DW-2008030025,200g,一般商品,袋,1,6.5,7.3,否
12394,1728,23,酒饮,2301,碳酸饮料,230101,可乐型,20150201,201502,DW-2301010017,600ml,一般商品,瓶,1,2.8,2.8,否
12395,1113,33,文体,3321,学生用品,332103,橡皮,20150201,201502,DW-3321030111,12012,一般商品,袋,1,2,1.7,否
12396,1135,22,休闲,2207,糖果,220799,其他糖果,20150201,201502,DW-2207990065,5.5g,一般商品,袋,1,1,1,否
12397,1956,12,蔬果,1201,蔬菜,120103,芽菜,20150201,201502,DW-1201030018,散称,生鲜,kg,0.558,2.23,1.48,否
12398,1966,12,蔬果,1201,蔬菜,120102,根茎,20150201,201502,DW-1201020018,散称,生鲜,千克,0.36,2.15,5.56,否
12399,2050,22,休闲,2203,膨化点心,220302,袋装薯片,20150201,201502,DW-2203020164,104g,一般商品,盒,1,7.8,8.5,否
12400,2062,20,粮油,2009,盐/糖,200903,绵白糖,20150201,201502,DW-2009030002,散称,一般商品,kg,1,6,6.8,否
12401,2228,20,粮油,2007,南北干货,200702,银耳,20150201,201502,DW-2007020012,散称,一般商品,kg,0.132,12.5,99,否
12402,4488,22,休闲,2205,炒货,220513,香瓜子,20150201,201502,DW-2205130089,散装,一般商品,KG,0.3,4.14,13.8,否
12403,3006,20,粮油,2006,五谷杂粮,200604,糯米粉,20150201,201502,DW-2006040002,1000g,一般商品,袋,1,7.9,7.9,否
12404,2229,12,蔬果,1201,蔬菜,120103,芽菜,20150201,201502,DW-1201030002,散称,生鲜,千克,0.288,0.85,2.78,否
12405,1673,22,休闲,2205,炒货,220515,南瓜子,20150201,201502,DW-2205150038,128g,一般商品,袋,1,5.9,5.9,否
12406,106,22,休闲,2206,即食熟制品,220605,鱼类,20150201,201502,DW-2206050160,散称,一般商品,kg,0.106,10.34,97.6,否
12407,2606,15,日配,1521,蛋类,152101,新鲜蛋品,20150201,201502,DW-1521010043,散称,一般商品,千克,0.432,5.61,8.5,否
12408,2703,12,蔬果,1203,水果,120301,柑桔柚类,20150201,201502,DW-1203010218,散称,生鲜,KG,2.248,16.59,7.96,否
12409,4759,20,粮油,2006,五谷杂粮,200606,豆,20150201,201502,DW-2006060040,1000g,一般商品,袋,1,14.5,11,否
12410,4759,34,针织,3408,男袜,340802,男绅士袜,20150201,201502,DW-3408021327,26-28CM,一般商品,双,1,14.5,14.5,否
12411,2925,30,洗化,3016,纸制品,301603,无芯纸,20150201,201502,DW-3016030118,200抽,一般商品,提,1,18.9,24.9,是
12412,2925,30,洗化,3016,纸制品,301606,手帕纸,20150201,201502,DW-3016060004,10包,一般商品,条,1,4.5,5.9,是
12413,3511,20,粮油,2005,煮食面/粉,200599,其他煮食面/粉,20150201,201502,DW-2005990031,散称,一般商品,kg,-0.552,-5.96,10.8,否
12414,3511,20,粮油,2005,煮食面/粉,200599,其他煮食面/粉,20150201,201502,DW-2005990031,散称,一般商品,kg,0.552,5.96,10.8,否
12415,3511,30,洗化,3018,卫生巾,301804,卫生护垫,20150201,201502,DW-3018040046,20P,一般商品,包,1,2.9,4.7,是
12416,2012,22,休闲,2204,蜜饯,220406,地瓜,20150201,201502,DW-2204060013,散称,一般商品,KG,0.37,7.32,19.8,否
12417,2229,12,蔬果,1201,蔬菜,120101,叶菜,20150201,201502,DW-1201010395,散称,生鲜,Kg,0.508,3.64,6,否
12418,5036,30,洗化,3008,洗护发用品,300801,洗发水,20150201,201502,DW-3008011356,200g,一般商品,瓶,1,12.9,12.9,否
12419,2606,12,蔬果,1201,蔬菜,120101,叶菜,20150201,201502,DW-1201010004,散称,生鲜,千克,0.287,1.6,5.6,否
12420,2606,15,日配,1521,蛋类,152104,咸蛋,20150201,201502,DW-1521040022,8枚,一般商品,盒,1,17.9,17.9,否
12421,2325,12,蔬果,1201,蔬菜,120104,花果,20150201,201502,DW-1201040043,散称,生鲜,千克,0.112,1.17,9,否
12422,2449,12,蔬果,1201,蔬菜,120101,叶菜,20150201,201502,DW-1201010020, ,生鲜,包,1,2.6,4.98,否
12423,2449,12,蔬果,1201,蔬菜,120104,花果,20150201,201502,DW-1201040035,散称,生鲜,千克,0.112,1.47,9.6,否
12424,3511,20,粮油,2006,五谷杂粮,200607,杂粮,20150201,201502,DW-2006070025,散称,一般商品,千克,1.364,7.33,6.98,是
12425,2847,30,洗化,3018,卫生巾,301801,日用卫生巾,20150201,201502,DW-3018010145,10片,一般商品,包,1,8.9,8.9,否
12426,1116,22,休闲,2210,果冻,221003,杯装果冻,20150201,201502,DW-2210030005,200g,一般商品,杯,1,3.6,3.6,否
12427,3511,20,粮油,2006,五谷杂粮,200607,杂粮,20150201,201502,DW-2006070025,散称,一般商品,千克,1.474,7.93,6.98,是
12428,3569,15,日配,1521,蛋类,152101,新鲜蛋品,20150201,201502,DW-1521010050,45枚,一般商品,只,1,89,89,否
12429,3569,15,日配,1518,常温乳品,151803,利乐砖营养奶,20150201,201502,DW-1518030028,250ml,一般商品,盒,12,52.8,4.4,否
12430,2890,22,休闲,2202,糕点,220201,派,20150201,201502,DW-2202010035,30g*10,一般商品,袋,1,7.5,7.7,否
12431,2890,22,休闲,2203,膨化点心,220301,米制点心,20150201,201502,DW-2203010039,105g,一般商品,袋,1,7.8,8.5,否
12432,3006,20,粮油,2006,五谷杂粮,200602,袋装白米,20150201,201502,DW-2006020028,5Kg,一般商品,袋,1,33.5,35.9,否
12433,4215,30,洗化,3008,洗护发用品,300801,洗发水,20150201,201502,DW-3008010168,400ml,一般商品,瓶,1,33.9,32.9,否
12434,4327,15,日配,1510,冷冻水饺,151003,菜肉水饺,20150201,201502,DW-1510030036,720g,一般商品,袋,1,19.9,31.7,是
12435,4327,22,休闲,2201,饼干,220106,钙奶,20150201,201502,DW-2201060006,225g,一般商品,袋,1,3.7,3.7,否
12436,1338,12,蔬果,1203,水果,120309,进口水果,20150201,201502,DW-1203090216,散称,生鲜,KG,0.602,16,15.9,否
12437,1406,30,洗化,3018,卫生巾,301804,卫生护垫,20150201,201502,DW-3018040184,8P,一般商品,包,1,5.5,5.7,否
12438,1499,20,粮油,2011,液体调料,201102,生抽酱油,20150201,201502,DW-2011020021,500ml,一般商品,瓶,1,6.9,7.9,否
12439,4215,22,休闲,2205,炒货,220503,去壳花生,20150201,201502,DW-2205030101,350g,一般商品,袋,1,6.8,6.8,否
12440,4606,12,蔬果,1203,水果,120313,其它水果,20150201,201502,DW-1203130444,散称,生鲜,KG,0.454,9.98,10,否
12441,1626,22,休闲,2205,炒货,220502,带壳花生,20150201,201502,DW-2205020048,散称,一般商品,kg,0.298,3.5,11.8,否
12442,1673,22,休闲,2205,炒货,220514,西瓜子,20150201,201502,DW-2205140046,308g,一般商品,袋,1,11.8,11.8,否
12443,1673,22,休闲,2209,巧克力,220904,牛奶巧克力,20150201,201502,DW-2209040042,82g,一般商品,袋,1,12.5,16.5,是
12444,1673,22,休闲,2209,巧克力,220906,果仁巧克力,20150201,201502,DW-2209060019,82g,一般商品,个,1,12.5,17,是
12445,3511,20,粮油,2007,南北干货,200701,木耳,20150201,201502,DW-2007010021,散称,一般商品,kg,0.066,3.81,89.8,是
12446,4327,22,休闲,2201,饼干,220106,钙奶,20150201,201502,DW-2201060004,240g,一般商品,袋,1,3.9,3.9,否
12447,4417,10,肉禽,1001,猪肉,100101,鲜猪肉,20150201,201502,DW-1001010195,散称,生鲜,千克,0.25,7.45,27.8,否
12448,5036,30,洗化,3008,洗护发用品,300802,润发护发,20150201,201502,DW-3008020409,450ml,一般商品,瓶,1,6.9,6.9,否
12449,1966,12,蔬果,1201,蔬菜,120102,根茎,20150201,201502,DW-1201020025,散称,生鲜,千克,0.57,1.7,2.56,否
12450,1966,12,蔬果,1201,蔬菜,120102,根茎,20150201,201502,DW-1201020029,散称,生鲜,千克,0.41,1.87,3.96,否
12451,1971,13,熟食,1308,现制中式面点,130803,现制烙类,20150201,201502,DW-1308030035,个,生鲜,个,2,2,1,否
12452,4036,22,休闲,2202,糕点,220202,蛋糕,20150201,201502,DW-2202020177,散称,一般商品,KG,0.44,22.7,51.6,否
12453,4036,22,休闲,2202,糕点,220205,中式糕点,20150201,201502,DW-2202050126,散称,一般商品,kg,0.656,25.97,39.6,否
12454,4620,12,蔬果,1203,水果,120301,柑桔柚类,20150201,201502,DW-1203010204,散称,生鲜,KG,0.912,4.17,3.98,否
12455,4620,20,粮油,2011,液体调料,201107,滴醋,20150201,201502,DW-2011070010,480mL,一般商品,瓶,1,3.8,3.8,否
12456,4620,22,休闲,2202,糕点,220208,散称糕点,20150201,201502,DW-2202080026,散称,一般商品,KG,0.162,3.7,33.8,是
12457,4707,12,蔬果,1203,水果,120307,蕉类,20150201,201502,DW-1203070022,散称,生鲜,KG,0.542,2.48,5.96,否
12458,4417,12,蔬果,1201,蔬菜,120102,根茎,20150201,201502,DW-1201020029,散称,生鲜,千克,0.607,2.78,3.96,否
12459,4488,15,日配,1505,冷藏乳品,150505,冷藏营养酸乳,20150201,201502,DW-1505050003,100g*8,一般商品,袋,1,9.9,9.9,否
12460,4759,12,蔬果,1201,蔬菜,120102,根茎,20150201,201502,DW-1201020029,散称,生鲜,千克,0.631,2.89,3.96,否
12461,4759,34,针织,3408,男袜,340899,其他男袜,20150201,201502,DW-3408990037,24-28,一般商品,双,1,3.5,8.9,是
12462,4759,31,家居,3122,地垫类,312205,马桶垫,20150201,201502,DW-3122050064,70,一般商品,只,1,6.9,8,是
12463,5099,31,家居,3112,厨房整理,311204,塑料盆,20150201,201502,DW-3112040146,30655,一般商品,只,1,30,30,否
12464,5084,30,洗化,3007,洗浴用品,300701,香皂,20150201,201502,DW-3007010189,115g,一般商品,块,1,4.3,4.9,否
12465,2925,30,洗化,3006,洗衣用品,300604,洗衣皂,20150201,201502,DW-3006040111,242g*2,一般商品,组,1,9.9,9.9,否
